slug,question,age_h,volume,y_bid,y_ask,n_bid,n_ask,ask_sum,bid_sum,buy_arb_gross,buy_arb_net,sell_arb_gross,max_pair_size,end_date
btc-updown-5m-1776837300,"Bitcoin Up or Down - April 22, 1:55AM-2:00AM ET",0.15,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,125.7,2026-04-22T06:00:00Z
hype-updown-5m-1776837300,"Hyperliquid Up or Down - April 22, 1:55AM-2:00AM ET",0.15,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T06:00:00Z
bnb-updown-5m-1776837300,"BNB Up or Down - April 22, 1:55AM-2:00AM ET",0.15,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T06:00:00Z
xrp-updown-5m-1776837300,"XRP Up or Down - April 22, 1:55AM-2:00AM ET",0.15,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T06:00:00Z
doge-updown-5m-1776837300,"Dogecoin Up or Down - April 22, 1:55AM-2:00AM ET",0.15,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T06:00:00Z
sol-updown-5m-1776837300,"Solana Up or Down - April 22, 1:55AM-2:00AM ET",0.15,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T06:00:00Z
eth-updown-5m-1776837300,"Ethereum Up or Down - April 22, 1:55AM-2:00AM ET",0.15,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,5.0,2026-04-22T06:00:00Z
bnb-up-or-down-april-23-2026-2am-et,"BNB Up or Down - April 23, 2AM ET",0.18,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,281.0,2026-04-23T07:00:00Z
hype-up-or-down-april-23-2026-2am-et,"HYPE Up or Down - April 23, 2AM ET",0.18,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,31.0,2026-04-23T07:00:00Z
atp-kicker-mayo-2026-04-21-match-total-23pt5,Kicker vs. Mayo: Match O/U 23.5,0.18,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T14:00:00Z
atp-kicker-mayo-2026-04-21-first-set-total-10pt5,Kicker vs. Mayo: Set 1 Games O/U 10.5,0.18,0.0,0.0,0.99,0.01,0.0,,,,,,0.0,2026-04-28T14:00:00Z
dogecoin-up-or-down-april-23-2026-2am-et,"Dogecoin Up or Down - April 23, 2AM ET",0.18,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,281.0,2026-04-23T07:00:00Z
atp-kicker-mayo-2026-04-21-first-set-total-9pt5,Kicker vs. Mayo: Set 1 Games O/U 9.5,0.18,0.0,0.0,0.99,0.01,0.0,,,,,,0.0,2026-04-28T14:00:00Z
atp-kicker-mayo-2026-04-21-match-total-22pt5,Kicker vs. Mayo: Match O/U 22.5,0.18,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T14:00:00Z
atp-kicker-mayo-2026-04-21-set-totals-2pt5,Nicolas Kicker vs. Aidan Mayo: Total Sets O/U 2.5,0.18,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-28T14:00:00Z
atp-kicker-mayo-2026-04-21-first-set-total-8pt5,Kicker vs. Mayo: Set 1 Games O/U 8.5,0.18,0.0,0.0,0.99,0.01,0.0,,,,,,0.0,2026-04-28T14:00:00Z
atp-kicker-mayo-2026-04-21-first-set-winner-Kicker-vs-Mayo,Set 1 Winner: Kicker vs Mayo,0.18,0.0,0.02,0.99,0.01,0.98,1.97,0.03,-0.97,-0.9995,-0.97,15.0,2026-04-28T14:00:00Z
atp-kicker-mayo-2026-04-21-match-total-21pt5,Kicker vs. Mayo: Match O/U 21.5,0.18,0.0,0.0,0.99,0.01,0.0,,,,,,0.0,2026-04-28T14:00:00Z
atp-zink-shick-2026-04-21-match-total-23pt5,Zink vs. Shick: Match O/U 23.5,0.18,0.0,0.02,0.99,0.01,0.98,1.97,0.03,-0.97,-0.9995,-0.97,14.99,2026-04-28T14:00:00Z
atp-zink-shick-2026-04-21-first-set-total-10pt5,Zink vs. Shick: Set 1 Games O/U 10.5,0.18,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,199.99,2026-04-28T14:00:00Z
atp-zink-shick-2026-04-21-match-total-22pt5,Zink vs. Shick: Match O/U 22.5,0.19,0.0,0.02,0.99,0.01,0.98,1.97,0.03,-0.97,-0.9995,-0.97,14.99,2026-04-28T14:00:00Z
atp-zink-shick-2026-04-21-first-set-total-9pt5,Zink vs. Shick: Set 1 Games O/U 9.5,0.19,0.0,0.04,0.99,0.01,0.96,1.95,0.05,-0.95,-0.9792,-0.95,17.42,2026-04-28T14:00:00Z
atp-zink-shick-2026-04-21-set-totals-2pt5,Tyler Zink vs. Braden Shick: Total Sets O/U 2.5,0.19,0.0,0.02,0.99,0.01,0.98,1.97,0.03,-0.97,-0.9995,-0.97,15.0,2026-04-28T14:00:00Z
atp-zink-shick-2026-04-21-first-set-total-8pt5,Zink vs. Shick: Set 1 Games O/U 8.5,0.19,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T14:00:00Z
atp-zink-shick-2026-04-21-match-total-21pt5,Zink vs. Shick: Match O/U 21.5,0.19,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,200.0,2026-04-28T14:00:00Z
atp-zink-shick-2026-04-21-first-set-winner-Zink-vs-Shick,Set 1 Winner: Zink vs Shick,0.19,0.0,0.02,0.99,0.01,0.98,1.97,0.03,-0.97,-0.9995,-0.97,14.99,2026-04-28T14:00:00Z
atp-hardt-purtsel-2026-04-21-first-set-total-10pt5,Hardt vs. Purtseladze: Set 1 Games O/U 10.5,0.19,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,30.0,2026-04-28T15:30:00Z
atp-hardt-purtsel-2026-04-21-match-total-23pt5,Hardt vs. Purtseladze: Match O/U 23.5,0.19,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T15:30:00Z
atp-hardt-purtsel-2026-04-21-first-set-total-9pt5,Hardt vs. Purtseladze: Set 1 Games O/U 9.5,0.19,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T15:30:00Z
atp-hardt-purtsel-2026-04-21-match-total-22pt5,Hardt vs. Purtseladze: Match O/U 22.5,0.19,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T15:30:00Z
atp-hardt-purtsel-2026-04-21-first-set-total-8pt5,Hardt vs. Purtseladze: Set 1 Games O/U 8.5,0.19,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T15:30:00Z
atp-hardt-purtsel-2026-04-21-match-total-21pt5,Hardt vs. Purtseladze: Match O/U 21.5,0.19,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,30.0,2026-04-28T15:30:00Z
atp-hardt-purtsel-2026-04-21-set-totals-2pt5,Nick Hardt vs. Saba Purtseladze: Total Sets O/U 2.5,0.19,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-28T15:30:00Z
atp-hardt-purtsel-2026-04-21-first-set-winner-Hardt-vs-Purtseladze,Set 1 Winner: Hardt vs Purtseladze,0.19,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T15:30:00Z
atp-rybakov-feldbau-2026-04-21-match-total-23pt5,Rybakov vs. Feldbausch: Match O/U 23.5,0.19,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T17:00:00Z
atp-rybakov-feldbau-2026-04-21-first-set-total-10pt5,Rybakov vs. Feldbausch: Set 1 Games O/U 10.5,0.19,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,30.0,2026-04-28T17:00:00Z
atp-rybakov-feldbau-2026-04-21-match-total-22pt5,Rybakov vs. Feldbausch: Match O/U 22.5,0.19,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-28T17:00:00Z
atp-rybakov-feldbau-2026-04-21-first-set-total-9pt5,Rybakov vs. Feldbausch: Set 1 Games O/U 9.5,0.19,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-28T17:00:00Z
xrp-up-or-down-april-23-2026-2am-et,"XRP Up or Down - April 23, 2AM ET",0.19,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1041.0,2026-04-23T07:00:00Z
atp-rybakov-feldbau-2026-04-21-set-totals-2pt5,Alex Rybakov vs. Kilian Feldbausch: Total Sets O/U 2.5,0.2,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T17:00:00Z
atp-rybakov-feldbau-2026-04-21-first-set-winner-Rybakov-vs-Feldbausch,Set 1 Winner: Rybakov vs Feldbausch,0.2,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T17:00:00Z
atp-rybakov-feldbau-2026-04-21-match-total-21pt5,Rybakov vs. Feldbausch: Match O/U 21.5,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-28T17:00:00Z
atp-rybakov-feldbau-2026-04-21-first-set-total-8pt5,Rybakov vs. Feldbausch: Set 1 Games O/U 8.5,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-28T17:00:00Z
atp-johnson-basavar-2026-04-21-match-total-23pt5,Johnson vs. Basavareddy: Match O/U 23.5,0.2,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,30.0,2026-04-28T18:30:00Z
atp-johnson-basavar-2026-04-21-first-set-total-10pt5,Johnson vs. Basavareddy: Set 1 Games O/U 10.5,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-28T18:30:00Z
atp-johnson-basavar-2026-04-21-match-total-22pt5,Johnson vs. Basavareddy: Match O/U 22.5,0.2,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T18:30:00Z
atp-johnson-basavar-2026-04-21-first-set-total-9pt5,Johnson vs. Basavareddy: Set 1 Games O/U 9.5,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-28T18:30:00Z
atp-johnson-basavar-2026-04-21-match-total-21pt5,Johnson vs. Basavareddy: Match O/U 21.5,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-28T18:30:00Z
atp-johnson-basavar-2026-04-21-set-totals-2pt5,Andrew Johnson vs. Nishesh Basavareddy: Total Sets O/U 2.5,0.2,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T18:30:00Z
atp-johnson-basavar-2026-04-21-first-set-winner-Johnson-vs-Basavareddy,Set 1 Winner: Johnson vs Basavareddy,0.2,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T18:30:00Z
atp-johnson-basavar-2026-04-21-first-set-total-8pt5,Johnson vs. Basavareddy: Set 1 Games O/U 8.5,0.2,0.0,0.01,0.0,0.0,0.99,,,,,,0.0,2026-04-28T18:30:00Z
atp-chung-chidekh-2026-04-22-match-total-23pt5,Chung vs. Chidekh: Match O/U 23.5,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-30T01:00:00Z
atp-chung-chidekh-2026-04-22-first-set-total-10pt5,Chung vs. Chidekh: Set 1 Games O/U 10.5,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-30T01:00:00Z
atp-chung-chidekh-2026-04-22-first-set-total-9pt5,Chung vs. Chidekh: Set 1 Games O/U 9.5,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-30T01:00:00Z
atp-chung-chidekh-2026-04-22-match-total-22pt5,Chung vs. Chidekh: Match O/U 22.5,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-30T01:00:00Z
solana-up-or-down-april-23-2026-2am-et,"Solana Up or Down - April 23, 2AM ET",0.2,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1031.0,2026-04-23T07:00:00Z
atp-chung-chidekh-2026-04-22-set-totals-2pt5,Hyeon Chung vs. Clement Chidekh: Total Sets O/U 2.5,0.21,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-30T01:00:00Z
atp-chung-chidekh-2026-04-22-match-total-21pt5,Chung vs. Chidekh: Match O/U 21.5,0.21,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-30T01:00:00Z
atp-chung-chidekh-2026-04-22-first-set-winner-Chung-vs-Chidekh,Set 1 Winner: Chung vs Chidekh,0.21,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,584.0,2026-04-30T01:00:00Z
atp-chung-chidekh-2026-04-22-first-set-total-8pt5,Chung vs. Chidekh: Set 1 Games O/U 8.5,0.21,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2026-04-30T01:00:00Z
ethereum-up-or-down-april-23-2026-2am-et,"Ethereum Up or Down - April 23, 2AM ET",0.21,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1051.0,2026-04-23T07:00:00Z
lal-sev-rso-2026-05-04-rso,Will Real Sociedad de Fútbol win on 2026-05-04?,0.21,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,584.0,2026-05-04T19:00:00Z
lal-sev-rso-2026-05-04-draw,Will Sevilla FC vs. Real Sociedad de Fútbol end in a draw?,0.21,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,584.0,2026-05-04T19:00:00Z
lal-sev-rso-2026-05-04-sev,Will Sevilla FC win on 2026-05-04?,0.21,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,584.0,2026-05-04T19:00:00Z
es2-alm-mir-2026-05-04-mir,Will CD Mirandés win on 2026-05-04?,0.21,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,584.0,2026-05-04T18:30:00Z
es2-alm-mir-2026-05-04-draw,Will UD Almería vs. CD Mirandés end in a draw?,0.21,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,584.0,2026-05-04T18:30:00Z
es2-alm-mir-2026-05-04-alm,Will UD Almería win on 2026-05-04?,0.21,0.0,0.01,0.99,0.01,0.99,1.98,0.02,-0.98,-1.0097,-0.98,584.0,2026-05-04T18:30:00Z
bitcoin-up-or-down-april-23-2026-2am-et,"Bitcoin Up or Down - April 23, 2AM ET",0.21,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1132.0,2026-04-23T07:00:00Z
eth-updown-5m-1776837000,"Ethereum Up or Down - April 22, 1:50AM-1:55AM ET",0.26,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,5.0,2026-04-22T05:55:00Z
doge-updown-5m-1776837000,"Dogecoin Up or Down - April 22, 1:50AM-1:55AM ET",0.27,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:55:00Z
btc-updown-5m-1776837000,"Bitcoin Up or Down - April 22, 1:50AM-1:55AM ET",0.27,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,136.1,2026-04-22T05:55:00Z
sol-updown-5m-1776837000,"Solana Up or Down - April 22, 1:50AM-1:55AM ET",0.27,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:55:00Z
bnb-updown-5m-1776837000,"BNB Up or Down - April 22, 1:50AM-1:55AM ET",0.27,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:55:00Z
hype-updown-5m-1776837000,"Hyperliquid Up or Down - April 22, 1:50AM-1:55AM ET",0.27,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:55:00Z
xrp-updown-5m-1776837000,"XRP Up or Down - April 22, 1:50AM-1:55AM ET",0.27,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:55:00Z
sol-updown-5m-1776836700,"Solana Up or Down - April 22, 1:45AM-1:50AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:50:00Z
xrp-updown-15m-1776836700,"XRP Up or Down - April 22, 1:45AM-2:00AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1137.0,2026-04-22T06:00:00Z
xrp-updown-5m-1776836700,"XRP Up or Down - April 22, 1:45AM-1:50AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:50:00Z
eth-updown-15m-1776836700,"Ethereum Up or Down - April 22, 1:45AM-2:00AM ET",0.35,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T06:00:00Z
doge-updown-15m-1776836700,"Dogecoin Up or Down - April 22, 1:45AM-2:00AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,307.0,2026-04-22T06:00:00Z
hype-updown-15m-1776836700,"Hyperliquid Up or Down - April 22, 1:45AM-2:00AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,157.0,2026-04-22T06:00:00Z
bnb-updown-15m-1776836700,"BNB Up or Down - April 22, 1:45AM-2:00AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,307.0,2026-04-22T06:00:00Z
btc-updown-15m-1776836700,"Bitcoin Up or Down - April 22, 1:45AM-2:00AM ET",0.35,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,15.0,2026-04-22T06:00:00Z
eth-updown-5m-1776836700,"Ethereum Up or Down - April 22, 1:45AM-1:50AM ET",0.35,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:50:00Z
bnb-updown-5m-1776836700,"BNB Up or Down - April 22, 1:45AM-1:50AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:50:00Z
hype-updown-5m-1776836700,"Hyperliquid Up or Down - April 22, 1:45AM-1:50AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:50:00Z
sol-updown-15m-1776836700,"Solana Up or Down - April 22, 1:45AM-2:00AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1337.0,2026-04-22T06:00:00Z
doge-updown-5m-1776836700,"Dogecoin Up or Down - April 22, 1:45AM-1:50AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:50:00Z
btc-updown-5m-1776836700,"Bitcoin Up or Down - April 22, 1:45AM-1:50AM ET",0.35,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,130.74,2026-04-22T05:50:00Z
xrp-updown-5m-1776836400,"XRP Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:45:00Z
doge-updown-5m-1776836400,"Dogecoin Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:45:00Z
btc-updown-5m-1776836400,"Bitcoin Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,146.08,2026-04-22T05:45:00Z
eth-updown-5m-1776836400,"Ethereum Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,15.0,2026-04-22T05:45:00Z
hype-updown-5m-1776836400,"Hyperliquid Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:45:00Z
sol-updown-5m-1776836400,"Solana Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:45:00Z
bnb-updown-5m-1776836400,"BNB Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:45:00Z
bnb-updown-5m-1776836100,"BNB Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:40:00Z
hype-updown-5m-1776836100,"Hyperliquid Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:40:00Z
sol-updown-5m-1776836100,"Solana Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:40:00Z
eth-updown-5m-1776836100,"Ethereum Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:40:00Z
