slug,question,age_h,volume,y_bid,y_ask,n_bid,n_ask,ask_sum,bid_sum,buy_arb_gross,buy_arb_net,sell_arb_gross,max_pair_size,end_date
btc-updown-5m-1776836100,"Bitcoin Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,125.79,2026-04-22T05:40:00Z
xrp-updown-5m-1776836100,"XRP Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:40:00Z
doge-updown-5m-1776836100,"Dogecoin Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:40:00Z
ethereum-above-2390-on-april-21-2026-3am-et,"Ethereum above 2,390 on April 21, 3AM ET?",0.56,100.0,0.0,0.011,0.989,0.0,,,,,,0.0,2026-04-21T07:00:00Z
ethereum-above-2375-on-april-21-2026-3am-et,"Ethereum above 2,375 on April 21, 3AM ET?",0.56,100.0,0.0,0.039,0.961,0.0,,,,,,0.0,2026-04-21T07:00:00Z
ethereum-above-2360-on-april-21-2026-3am-et,"Ethereum above 2,360 on April 21, 3AM ET?",0.56,74.0,0.002,0.044,0.956,0.998,1.042,0.958,-0.042,-0.0576,-0.042,74.0,2026-04-21T07:00:00Z
ethereum-above-2345-on-april-21-2026-3am-et,"Ethereum above 2,345 on April 21, 3AM ET?",0.56,0.0,0.002,0.046,0.954,0.998,1.044,0.956,-0.044,-0.0597,-0.044,144.0,2026-04-21T07:00:00Z
ethereum-above-2330-on-april-21-2026-3am-et,"Ethereum above 2,330 on April 21, 3AM ET?",0.56,0.0,0.002,0.054,0.946,0.998,1.052,0.948,-0.052,-0.0678,-0.052,20.29,2026-04-21T07:00:00Z
ethereum-above-2300-on-april-21-2026-3am-et,"Ethereum above 2,300 on April 21, 3AM ET?",0.56,0.0,0.94,0.98,0.02,0.06,1.04,0.96,-0.04,-0.0556,-0.04,5.29,2026-04-21T07:00:00Z
ethereum-above-2285-on-april-21-2026-3am-et,"Ethereum above 2,285 on April 21, 3AM ET?",0.56,0.0,0.976,0.997,0.003,0.024,1.021,0.979,-0.021,-0.0363,-0.021,7.68,2026-04-21T07:00:00Z
ethereum-above-2270-on-april-21-2026-3am-et,"Ethereum above 2,270 on April 21, 3AM ET?",0.57,100.0,0.11,0.0,0.0,0.89,,,,,,0.0,2026-04-21T07:00:00Z
ethereum-above-2255-on-april-21-2026-3am-et,"Ethereum above 2,255 on April 21, 3AM ET?",0.57,100.0,0.11,0.0,0.0,0.89,,,,,,0.0,2026-04-21T07:00:00Z
ethereum-above-2240-on-april-21-2026-3am-et,"Ethereum above 2,240 on April 21, 3AM ET?",0.57,207.0,0.56,0.0,0.0,0.44,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-77800-on-april-21-2026-3am-et,"Bitcoin above 77,800 on April 21, 3AM ET?",0.57,0.0,0.0,0.001,0.999,0.0,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-77400-on-april-21-2026-3am-et,"Bitcoin above 77,400 on April 21, 3AM ET?",0.57,0.0,0.0,0.001,0.999,0.0,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-77000-on-april-21-2026-3am-et,"Bitcoin above 77,000 on April 21, 3AM ET?",0.57,0.0,0.001,0.045,0.955,0.999,1.044,0.956,-0.044,-0.0597,-0.044,150.0,2026-04-21T07:00:00Z
bitcoin-above-76600-on-april-21-2026-3am-et,"Bitcoin above 76,600 on April 21, 3AM ET?",0.57,0.0,0.001,0.045,0.955,0.999,1.044,0.956,-0.044,-0.0597,-0.044,240.0,2026-04-21T07:00:00Z
bitcoin-above-76200-on-april-21-2026-3am-et,"Bitcoin above 76,200 on April 21, 3AM ET?",0.57,0.0,0.002,0.056,0.944,0.998,1.054,0.946,-0.054,-0.0698,-0.054,240.0,2026-04-21T07:00:00Z
bitcoin-above-75400-on-april-21-2026-3am-et,"Bitcoin above 75,400 on April 21, 3AM ET?",0.57,0.0,0.96,0.99,0.01,0.04,1.03,0.97,-0.03,-0.0455,-0.03,5.2,2026-04-21T07:00:00Z
bitcoin-above-75000-on-april-21-2026-3am-et,"Bitcoin above 75,000 on April 21, 3AM ET?",0.57,0.0,0.1,0.0,0.0,0.9,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-74600-on-april-21-2026-3am-et,"Bitcoin above 74,600 on April 21, 3AM ET?",0.57,0.0,0.1,0.0,0.0,0.9,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-74200-on-april-21-2026-3am-et,"Bitcoin above 74,200 on April 21, 3AM ET?",0.57,0.0,0.55,0.0,0.0,0.45,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-73800-on-april-21-2026-3am-et,"Bitcoin above 73,800 on April 21, 3AM ET?",0.57,0.0,0.99,0.0,0.0,0.01,,,,,,0.0,2026-04-21T07:00:00Z
hype-updown-15m-1776835800,"Hyperliquid Up or Down - April 22, 1:30AM-1:45AM ET",0.62,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,157.0,2026-04-22T05:45:00Z
eth-updown-15m-1776835800,"Ethereum Up or Down - April 22, 1:30AM-1:45AM ET",0.62,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:45:00Z
btc-updown-5m-1776835800,"Bitcoin Up or Down - April 22, 1:30AM-1:35AM ET",0.62,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,130.45,2026-04-22T05:35:00Z
bnb-updown-5m-1776835800,"BNB Up or Down - April 22, 1:30AM-1:35AM ET",0.62,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:35:00Z
doge-updown-5m-1776835800,"Dogecoin Up or Down - April 22, 1:30AM-1:35AM ET",0.62,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:35:00Z
eth-updown-5m-1776835800,"Ethereum Up or Down - April 22, 1:30AM-1:35AM ET",0.62,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:35:00Z
sol-updown-15m-1776835800,"Solana Up or Down - April 22, 1:30AM-1:45AM ET",0.62,4.901959,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1332.09,2026-04-22T05:45:00Z
bnb-updown-15m-1776835800,"BNB Up or Down - April 22, 1:30AM-1:45AM ET",0.62,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,407.0,2026-04-22T05:45:00Z
xrp-updown-15m-1776835800,"XRP Up or Down - April 22, 1:30AM-1:45AM ET",0.62,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1287.0,2026-04-22T05:45:00Z
hype-updown-5m-1776835800,"Hyperliquid Up or Down - April 22, 1:30AM-1:35AM ET",0.62,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:35:00Z
sol-updown-5m-1776835800,"Solana Up or Down - April 22, 1:30AM-1:35AM ET",0.62,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:35:00Z
btc-updown-15m-1776835800,"Bitcoin Up or Down - April 22, 1:30AM-1:45AM ET",0.62,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,15.0,2026-04-22T05:45:00Z
doge-updown-15m-1776835800,"Dogecoin Up or Down - April 22, 1:30AM-1:45AM ET",0.62,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,407.0,2026-04-22T05:45:00Z
xrp-updown-5m-1776835800,"XRP Up or Down - April 22, 1:30AM-1:35AM ET",0.62,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:35:00Z
hype-updown-5m-1776835500,"Hyperliquid Up or Down - April 22, 1:25AM-1:30AM ET",0.71,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:30:00Z
btc-updown-5m-1776835500,"Bitcoin Up or Down - April 22, 1:25AM-1:30AM ET",0.71,5.0,0.49,0.5,0.5,0.51,1.01,0.99,-0.01,-0.0252,-0.01,10.34,2026-04-22T05:30:00Z
xrp-updown-5m-1776835500,"XRP Up or Down - April 22, 1:25AM-1:30AM ET",0.71,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:30:00Z
bnb-updown-5m-1776835500,"BNB Up or Down - April 22, 1:25AM-1:30AM ET",0.71,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:30:00Z
doge-updown-5m-1776835500,"Dogecoin Up or Down - April 22, 1:25AM-1:30AM ET",0.71,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:30:00Z
eth-updown-5m-1776835500,"Ethereum Up or Down - April 22, 1:25AM-1:30AM ET",0.71,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:30:00Z
sol-updown-5m-1776835500,"Solana Up or Down - April 22, 1:25AM-1:30AM ET",0.71,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:30:00Z
bnb-updown-5m-1776835200,"BNB Up or Down - April 22, 1:20AM-1:25AM ET",0.8,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:25:00Z
eth-updown-5m-1776835200,"Ethereum Up or Down - April 22, 1:20AM-1:25AM ET",0.8,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:25:00Z
btc-updown-5m-1776835200,"Bitcoin Up or Down - April 22, 1:20AM-1:25AM ET",0.8,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,130.62,2026-04-22T05:25:00Z
hype-updown-5m-1776835200,"Hyperliquid Up or Down - April 22, 1:20AM-1:25AM ET",0.8,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:25:00Z
doge-updown-5m-1776835200,"Dogecoin Up or Down - April 22, 1:20AM-1:25AM ET",0.8,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:25:00Z
xrp-updown-5m-1776835200,"XRP Up or Down - April 22, 1:20AM-1:25AM ET",0.8,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:25:00Z
sol-updown-5m-1776835200,"Solana Up or Down - April 22, 1:20AM-1:25AM ET",0.8,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:25:00Z
doge-updown-5m-1776834900,"Dogecoin Up or Down - April 22, 1:15AM-1:20AM ET",0.89,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:20:00Z
hype-updown-5m-1776834900,"Hyperliquid Up or Down - April 22, 1:15AM-1:20AM ET",0.89,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:20:00Z
hype-updown-15m-1776834900,"Hyperliquid Up or Down - April 22, 1:15AM-1:30AM ET",0.89,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,157.0,2026-04-22T05:30:00Z
eth-updown-15m-1776834900,"Ethereum Up or Down - April 22, 1:15AM-1:30AM ET",0.89,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:30:00Z
sol-updown-5m-1776834900,"Solana Up or Down - April 22, 1:15AM-1:20AM ET",0.89,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:20:00Z
bnb-updown-5m-1776834900,"BNB Up or Down - April 22, 1:15AM-1:20AM ET",0.89,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:20:00Z
btc-updown-15m-1776834900,"Bitcoin Up or Down - April 22, 1:15AM-1:30AM ET",0.89,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:30:00Z
xrp-updown-5m-1776834900,"XRP Up or Down - April 22, 1:15AM-1:20AM ET",0.89,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:20:00Z
bnb-updown-15m-1776834900,"BNB Up or Down - April 22, 1:15AM-1:30AM ET",0.89,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,407.0,2026-04-22T05:30:00Z
sol-updown-15m-1776834900,"Solana Up or Down - April 22, 1:15AM-1:30AM ET",0.89,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1337.0,2026-04-22T05:30:00Z
doge-updown-15m-1776834900,"Dogecoin Up or Down - April 22, 1:15AM-1:30AM ET",0.89,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,407.0,2026-04-22T05:30:00Z
xrp-updown-15m-1776834900,"XRP Up or Down - April 22, 1:15AM-1:30AM ET",0.89,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1287.0,2026-04-22T05:30:00Z
eth-updown-5m-1776834900,"Ethereum Up or Down - April 22, 1:15AM-1:20AM ET",0.89,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,5.0,2026-04-22T05:20:00Z
btc-updown-5m-1776834900,"Bitcoin Up or Down - April 22, 1:15AM-1:20AM ET",0.89,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,120.03,2026-04-22T05:20:00Z
nhl-dal-min-2026-04-22-spread-home-1pt5,Spread: Wild (-1.5),0.93,0.0,0.3,0.35,0.65,0.7,1.05,0.95,-0.05,-0.0657,-0.05,16.0,2026-04-23T01:30:00Z
nhl-ana-edm-2026-04-22-spread-home-1pt5,Spread: Oilers (-1.5),0.93,0.0,0.4,0.44,0.56,0.6,1.04,0.96,-0.04,-0.0556,-0.04,1177.5,2026-04-23T02:00:00Z
bnb-updown-5m-1776834600,"BNB Up or Down - April 22, 1:10AM-1:15AM ET",0.97,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:15:00Z
xrp-updown-5m-1776834600,"XRP Up or Down - April 22, 1:10AM-1:15AM ET",0.97,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:15:00Z
hype-updown-5m-1776834600,"Hyperliquid Up or Down - April 22, 1:10AM-1:15AM ET",0.97,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:15:00Z
sol-updown-5m-1776834600,"Solana Up or Down - April 22, 1:10AM-1:15AM ET",0.97,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:15:00Z
doge-updown-5m-1776834600,"Dogecoin Up or Down - April 22, 1:10AM-1:15AM ET",0.97,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:15:00Z
eth-updown-5m-1776834600,"Ethereum Up or Down - April 22, 1:10AM-1:15AM ET",0.97,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,5.0,2026-04-22T05:15:00Z
btc-updown-5m-1776834600,"Bitcoin Up or Down - April 22, 1:10AM-1:15AM ET",0.97,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,125.35,2026-04-22T05:15:00Z
eth-updown-5m-1776834300,"Ethereum Up or Down - April 22, 1:05AM-1:10AM ET",1.07,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:10:00Z
xrp-updown-5m-1776834300,"XRP Up or Down - April 22, 1:05AM-1:10AM ET",1.07,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:10:00Z
sol-updown-5m-1776834300,"Solana Up or Down - April 22, 1:05AM-1:10AM ET",1.07,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:10:00Z
btc-updown-5m-1776834300,"Bitcoin Up or Down - April 22, 1:05AM-1:10AM ET",1.07,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,130.41,2026-04-22T05:10:00Z
doge-updown-5m-1776834300,"Dogecoin Up or Down - April 22, 1:05AM-1:10AM ET",1.07,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:10:00Z
bnb-updown-5m-1776834300,"BNB Up or Down - April 22, 1:05AM-1:10AM ET",1.07,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:10:00Z
hype-updown-5m-1776834300,"Hyperliquid Up or Down - April 22, 1:05AM-1:10AM ET",1.07,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:10:00Z
nba-cle-tor-2026-04-23-1h-moneyline,Cavaliers vs. Raptors: 1H Moneyline,1.1,0.0,0.06,0.95,0.05,0.94,1.89,0.11,-0.89,-0.9183,-0.89,85.0,2026-04-24T00:00:00Z
nba-cle-tor-2026-04-23-1h-total-106pt5,Cavaliers vs. Raptors: 1H O/U 106.5,1.1,0.0,0.03,0.97,0.03,0.97,1.94,0.06,-0.94,-0.9691,-0.94,15.83,2026-04-24T00:00:00Z
nba-cle-tor-2026-04-23-1h-spread-away-1pt5,1H Spread: Cavaliers (-1.5),1.1,0.0,0.04,0.5,0.5,0.96,1.46,0.54,-0.46,-0.4819,-0.46,5.0,2026-04-24T00:00:00Z
nba-nyk-atl-2026-04-23-points-og-anunoby-16pt5,OG Anunoby: Points O/U 16.5,1.1,0.0,0.03,0.97,0.03,0.97,1.94,0.06,-0.94,-0.9691,-0.94,22.77,2026-04-23T23:00:00Z
nba-nyk-atl-2026-04-23-points-jalen-brunson-26pt5,Jalen Brunson: Points O/U 26.5,1.1,0.0,0.03,0.97,0.03,0.97,1.94,0.06,-0.94,-0.9691,-0.94,22.77,2026-04-23T23:00:00Z
nba-nyk-atl-2026-04-23-1h-moneyline,Knicks vs. Hawks: 1H Moneyline,1.1,0.0,0.03,0.93,0.07,0.97,1.9,0.1,-0.9,-0.9285,-0.9,24.84,2026-04-23T23:00:00Z
nba-nyk-atl-2026-04-23-1h-total-111pt5,Knicks vs. Hawks: 1H O/U 111.5,1.1,0.0,0.03,0.95,0.05,0.97,1.92,0.08,-0.92,-0.9488,-0.92,5.28,2026-04-23T23:00:00Z
nba-nyk-atl-2026-04-23-1h-spread-away-0pt5,1H Spread: Knicks (-0.5),1.1,0.0,0.03,0.97,0.03,0.97,1.94,0.06,-0.94,-0.9691,-0.94,22.77,2026-04-23T23:00:00Z
eth-updown-15m-1776834000,"Ethereum Up or Down - April 22, 1:00AM-1:15AM ET",1.16,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:15:00Z
sol-updown-15m-1776834000,"Solana Up or Down - April 22, 1:00AM-1:15AM ET",1.16,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1337.0,2026-04-22T05:15:00Z
hype-updown-5m-1776834000,"Hyperliquid Up or Down - April 22, 1:00AM-1:05AM ET",1.16,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:05:00Z
btc-updown-5m-1776834000,"Bitcoin Up or Down - April 22, 1:00AM-1:05AM ET",1.16,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,125.55,2026-04-22T05:05:00Z
bnb-updown-5m-1776834000,"BNB Up or Down - April 22, 1:00AM-1:05AM ET",1.16,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:05:00Z
btc-updown-15m-1776834000,"Bitcoin Up or Down - April 22, 1:00AM-1:15AM ET",1.16,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,15.0,2026-04-22T05:15:00Z
xrp-updown-15m-1776834000,"XRP Up or Down - April 22, 1:00AM-1:15AM ET",1.16,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1287.0,2026-04-22T05:15:00Z
hype-updown-15m-1776834000,"Hyperliquid Up or Down - April 22, 1:00AM-1:15AM ET",1.16,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,157.0,2026-04-22T05:15:00Z
eth-updown-5m-1776834000,"Ethereum Up or Down - April 22, 1:00AM-1:05AM ET",1.16,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:05:00Z
bnb-updown-15m-1776834000,"BNB Up or Down - April 22, 1:00AM-1:15AM ET",1.16,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,407.0,2026-04-22T05:15:00Z
doge-updown-15m-1776834000,"Dogecoin Up or Down - April 22, 1:00AM-1:15AM ET",1.16,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,407.0,2026-04-22T05:15:00Z
