strategy,strategy_label,slug,question,fav_side,fav_price,fav_ask,spread,volume,liquidity_clob,hours_to_close,expected_edge,est_win_rate,end_date
A_mid_favorite,"Fav 0.88-0.96, vol $5-10k, ~3d out",nba-phx-okc-2026-04-19,Suns vs. Thunder,Thunder,0.885,0.89,0.01,5544,53351,27.4,0.036,0.966,2026-04-19T19:30:00Z
A_mid_favorite,"Fav 0.88-0.96, vol $5-10k, ~3d out",will-donald-trump-publicly-insult-someone-on-april-21-2026,"Will Donald Trump publicly insult someone on April 21, 2026?",Yes,0.915,0.92,0.01,6639,995,55.9,0.036,0.966,2026-04-21T00:00:00Z
A_mid_favorite,"Fav 0.88-0.96, vol $5-10k, ~3d out",white-house-of-tweets-april-14-april-21-2026-160-179,"Will White House post 160-179 posts from April 14 to April 21, 2026?",No,0.95,0.96,0.02,5073,4905,71.9,0.036,0.966,2026-04-21T16:00:00Z
A_mid_favorite,"Fav 0.88-0.96, vol $5-10k, ~3d out",ibkr-quarterly-earnings-nongaap-eps-04-21-2026-0pt60,Will Interactive Brokers Group (IBKR) beat quarterly earnings?,Yes,0.9345,0.938,0.007,5344,4476,76.9,0.036,0.966,2026-04-21T21:00:00Z
A_mid_favorite,"Fav 0.88-0.96, vol $5-10k, ~3d out",gd-quarterly-earnings-gaap-eps-04-22-2026-3pt67,Will General Dynamics (GD) beat quarterly earnings?,Yes,0.885,0.89,0.01,5621,3680,92.9,0.036,0.966,2026-04-22T13:00:00Z
A_mid_favorite,"Fav 0.88-0.96, vol $5-10k, ~3d out",bitcoin-above-80k-on-april-22,"Will the price of Bitcoin be above $80,000 on April 22?",No,0.89,0.9,0.02,6728,23653,95.9,0.036,0.966,2026-04-22T16:00:00Z
B_tail_arb,"Fav 0.95-0.99, vol $5-50k, ~7d out",will-the-bank-of-russia-make-no-change-to-the-key-rate-after-the-april-meeting,Will the Bank of Russia make no change to the key rate after the April Meeting?,No,0.9835,0.986,0.005,31453,21068,127.9,0.011,0.992,2026-04-24T00:00:00Z
B_tail_arb,"Fav 0.95-0.99, vol $5-50k, ~7d out",elon-musk-of-tweets-april-17-april-24-200-219,"Will Elon Musk post 200-219 tweets from April 17 to April 24, 2026?",No,0.9515,0.952,0.001,30851,41628,143.9,0.011,0.992,2026-04-24T16:00:00Z
B_tail_arb,"Fav 0.95-0.99, vol $5-50k, ~7d out",elon-musk-of-tweets-april-17-april-24-360-379,"Will Elon Musk post 360-379 tweets from April 17 to April 24, 2026?",No,0.9645,0.965,0.001,31975,35642,143.9,0.011,0.992,2026-04-24T16:00:00Z
B_tail_arb,"Fav 0.95-0.99, vol $5-50k, ~7d out",elon-musk-of-tweets-april-17-april-24-380-399,"Will Elon Musk post 380-399 tweets from April 17 to April 24, 2026?",No,0.974,0.975,0.002,34234,36249,143.9,0.011,0.992,2026-04-24T16:00:00Z
B_tail_arb,"Fav 0.95-0.99, vol $5-50k, ~7d out",elon-musk-of-tweets-april-17-april-24-400-419,"Will Elon Musk post 400-419 tweets from April 17 to April 24, 2026?",No,0.989,0.99,0.002,39592,36486,143.9,0.011,0.992,2026-04-24T16:00:00Z
B_tail_arb,"Fav 0.95-0.99, vol $5-50k, ~7d out",elon-musk-of-tweets-april-17-april-24-180-199,"Will Elon Musk post 180-199 tweets from April 17 to April 24, 2026?",No,0.9815,0.983,0.003,45903,35694,143.9,0.011,0.992,2026-04-24T16:00:00Z
B_tail_arb,"Fav 0.95-0.99, vol $5-50k, ~7d out",bitcoin-above-86k-on-april-24,"Will the price of Bitcoin be above $86,000 on April 24?",No,0.9795,0.98,0.001,5649,23997,143.9,0.011,0.992,2026-04-24T16:00:00Z
B_tail_arb,"Fav 0.95-0.99, vol $5-50k, ~7d out",bitcoin-above-68k-on-april-24,"Will the price of Bitcoin be above $68,000 on April 24?",Yes,0.9735,0.977,0.007,6641,24053,143.9,0.011,0.992,2026-04-24T16:00:00Z
B_tail_arb,"Fav 0.95-0.99, vol $5-50k, ~7d out",will-fernando-mendoza-be-the-first-pick-of-the-2026-nfl-draft,Will Fernando Mendoza be the first pick of the 2026 NFL Draft?,Yes,0.9865,0.987,0.001,46213,11743,151.9,0.011,0.992,2026-04-25T00:00:00Z
B_tail_arb,"Fav 0.95-0.99, vol $5-50k, ~7d out",will-carolina-panthers-draft-ty-simpson-in-the-2026-pro-football-draft,Will Carolina Panthers draft Ty Simpson in the 2026 pro football draft?,No,0.986,0.989,0.006,14873,509,175.9,0.011,0.992,2026-04-26T00:00:00Z
B_tail_arb,"Fav 0.95-0.99, vol $5-50k, ~7d out",will-kansas-city-chiefs-draft-ty-simpson-in-the-2026-pro-football-draft,Will Kansas City Chiefs draft Ty Simpson in the 2026 pro football draft?,No,0.985,0.995,0.02,31300,409,175.9,0.011,0.992,2026-04-26T00:00:00Z
C_moderate_fav,"Fav 0.70-0.88, vol $5-20k, ~7d out",bitcoin-above-80k-on-april-24,"Will the price of Bitcoin be above $80,000 on April 24?",No,0.84,0.85,0.02,5560,23744,143.9,0.061,0.825,2026-04-24T16:00:00Z
C_moderate_fav,"Fav 0.70-0.88, vol $5-20k, ~7d out",bun-lei-uni-2026-04-24-lei,Will RB Leipzig win on 2026-04-24?,Yes,0.71,0.72,0.02,10705,557142,146.4,0.061,0.825,2026-04-24T18:30:00Z
C_moderate_fav,"Fav 0.70-0.88, vol $5-20k, ~7d out",mlb-lad-col-2026-04-19,Los Angeles Dodgers vs. Colorado Rockies,Los Angeles Dodgers,0.7335,0.735,0.003,5191,25988,195.1,0.061,0.825,2026-04-26T19:10:00Z
C_moderate_fav,"Fav 0.70-0.88, vol $5-20k, ~7d out",will-michael-opening-weekend-box-office-be-greater-than-80m,"Will ""Michael"" Opening Weekend Box Office be greater than 80m?",Yes,0.7,0.71,0.02,8808,3642,211.9,0.061,0.825,2026-04-27T12:00:00Z
